elevation,slope,aspect,lst,ndvi,precip,fire_label
213.0,89.98883,285.25513,30.29037799107958,0.47601314039008374,0.0,1
202.0,89.991,45.0,30.972084191406484,0.40047355107893695,0.0,1
593.0,89.99866,47.56377,26.836472703806304,0.8077385888638706,0.0,0
2310.0,89.99914,45.0,17.127628251129423,0.801198204637725,10.91821991403895,0
381.0,89.99394,92.72631,26.85324215892444,0.6120138331421466,1.275887438051571,0
4868.0,89.999084,344.1676,9.720955920912855,0.044466560217048,7.987541136675796,0
1072.0,89.99905,139.86452,26.223957556360435,0.7745804615309972,28.03969131946237,0
4710.0,89.994705,45.0,8.514378010237083,0.08737440513605838,4.766116986671738,0
2411.0,89.99892,135.0,17.806295193824546,0.7699797942678304,4.913624987223952,0
2363.0,89.99898,18.725784,24.664472735592238,0.7731675036560862,138.65085208528149,1
1845.0,89.99904,102.669815,28.209038332100985,0.583089555603381,20.07750739188637,1
1527.0,89.99879,48.86546,29.95094900104427,0.48810671833166586,19.944812418490123,1
1506.0,89.999084,186.61346,30.395551983749094,0.5279662194281514,20.575785656768474,1
1815.0,89.999176,194.93143,28.25343936349683,0.512843014398626,67.79642337687584,1
1712.0,89.99848,178.63608,28.959145348519826,0.465840789552816,69.80642119237069,1
1692.0,89.99835,185.19443,28.13445569236078,0.6824318504564578,7.624519023749838,1
258.0,89.98714,135.0,36.66660539208873,0.38661809174267325,22.920246346161036,1
1129.0,89.997856,70.346176,35.33815413557839,0.4161164481113258,9.264009614366831,1
310.0,89.98576,153.43495,36.34138626052326,0.4032579411749859,11.040452648815368,1
289.0,89.990234,147.52881,34.24035441031167,0.49409877131223334,11.3986760407315,1
5271.0,89.99943,62.04903,7.959608893285291,-0.03812100774395127,57.329930254826365,0
5780.0,89.99916,183.76404,3.4890524478983562,-0.052179813323818464,108.03041921582175,0
5765.0,89.999084,8.246323,13.307140080319625,-0.026563416487109023,69.43212564540592,0
459.0,89.998535,156.97452,31.67346648525659,0.6412814902765732,27.276027469315636,0
5440.0,89.99946,19.209167,7.04918899426305,-0.046032905863308944,122.08986859879097,0
211.0,89.98818,338.1986,32.799365828198596,0.5274270098790321,12.493682819655701,0
223.0,89.98594,186.3402,26.008496897734794,0.5401735565097473,54.39509450969437,0
